"","index","content","date","polarity"
"0","0","Başkanlık sistemi gelirse Türkiye daha büyük Türkiye olur bunu hazmedemeyenler  her türlü oyun Havası oynuyor durmak yok başkanlıka devam","2016-04-28 16:33:48+00:00","Positive"
"1","1","Başkanlık sistemi ile acaba bugünkü muktedirler hangi yetkilere daha sahip olacaklar. #neoluyor","2016-04-28 16:33:45+00:00","Negative"
"2","2","Odaklandığın başkanlık sistemi, başını yer inşallaj","2016-04-28 16:31:56+00:00","Negative"
"3","3","Baskanlik sistemi gelirse bu ulke biter ama insanlarimi sagolsun dusuncesiz 1 makarnaya kanan cahiller@fatihportakal  #neleroluyor bu ulkeye","2016-04-28 16:31:38+00:00","Negative"
"4","4","Kürsü Genç Hukukçularda
Parlamenter ve Başkanlık Sistemi Paneli
@BusraPolattt Mustafa Koçyiğit @_rmys4 @elifgirginn https://t.co/iFwkM30IUE","2016-04-28 16:30:50+00:00","Neutral"
"5","5","Güneydoğu işid doğu anadolu da pkk yüzünden günlük şehit veriyoruz ama tek dertleri başkanlık sistemi..","2016-04-28 16:30:29+00:00","Neutral"
"6","6","Peruk kafa açık açık ""APlanimiz başkanlık sistemi mevcut sistemi değiştirmek""diyor..","2016-04-28 16:28:53+00:00","Neutral"
"7","7","Başkanlık sistemi olmassa , partili c.başkanı sistemi olsun diyorlar.Oğlum ne ugraşıyorsunuz bu kadar.Sistem olmadanda başkan var.😀😀😀","2016-04-28 16:27:17+00:00","Neutral"
"8","8","Başbakan: ""A planımız başkanlık sistemi. Bizim niyetimiz sistemi tümden değiştirmektir.""","2016-04-28 16:25:45+00:00","Neutral"
"9","9","@fahrettindamga Daha secimler yeni yapildi..Alavere-dalavere basladi.Koalisyonun olmayacagi secim sistemi yani baskanlik  bunlari bitirir","2016-04-28 16:15:44+00:00","Positive"
"10","10","Tek çözüm başkanlık sistemi  bir an önce refarandum yapılmalı","2016-04-28 16:14:11+00:00","Positive"
"11","11","CB Başdanşmanlğı sn @mehmetucum 4 Mayıs Çarşamba saat 14:00 Kafkas Üniversitesi ""Yeni Anayasa ve Başkanlık Sistemi"" https://t.co/ymESRyZpmN","2016-04-28 16:05:15+00:00","Neutral"
"12","12","@maykoq Başkanlık sistemi garanti diyebiliriz bu durumda.","2016-04-28 16:04:41+00:00","Neutral"
"13","13","BÖ; Tartışamama sorunumuzun nedeni Ak Parti’nin nasıl 1 başkanlık sistemi istediğini netleştirmemiş olması.","2016-04-28 15:53:55+00:00","Neutral"
"14","14","Davutoğlu: 'Yeni anayasayı başkanlık sistemi etrafında dokuyacağız' https://t.co/xqeytLsNXT https://t.co/J9iWvLBGy6","2016-04-28 15:50:40+00:00","Neutral"
"15","15","B.Ö; Başkanlık sistemi sihirli değnek değil. Parlamenter sistem de alın yazımız veya Türklerin Ötüken Yaylasından getirdiği 1 sistem değil.","2016-04-28 15:49:18+00:00","Neutral"
"16","16","Meclis didişme yeri, kavga, gürültü bitmez, Başkanlık sistemi sayesinde sistem hızlı,sorunsuz işler, tiyatrosu https://t.co/5NpsdrUSns","2016-04-28 15:48:30+00:00","Positive"
"17","17","Ben diyorum ki şu beklediğimiz af işini  başkanlık sistemi yeni anayasa kargaşasının içinde bize sunup yine oy peşinemi düşecekler acaba","2016-04-28 15:48:11+00:00","Neutral"
"18","18","Türkiye'de başkanlık sistemi olmaz. Mevcut taliple olsa olsa ""yüce başkanlık"" sistemi olur...!","2016-04-28 15:41:51+00:00","Negative"
"19","19","Türkiye'de Başkanlık Sistemi'ne geçilmeli mi? https://t.co/AjcxuC6I7l","2016-04-28 15:38:25+00:00","Neutral"
"20","20","Dertleri parlamentoyu işlevsiz kılıp Başkanlık sistemi güzellemek. Parlamenter demokrasiyi yedirmeyiz.","2016-04-28 15:35:54+00:00","Negative"
"21","21","@mertistann @erenerdemnet @jiyaninsesi nah gelecek başkanlık sistemi  alsan başkanlık sistemi aktroll https://t.co/n0PbJYwE66","2016-04-28 15:25:21+00:00","Negative"
"22","22","@mhmtshnx ne barışı la siz özerklik karşılıgı başkanlık sistemi ni istiyorsunuz son anda iş bozuldu. Ülkeyi sattınız","2016-04-28 15:11:58+00:00","Negative"
"23","23","Ekonomi penceresinden başkanlık sistemi - Erdal Tanas Karagöl(@erdalkaragol) köşeyazısı https://t.co/YA14Oyng7U","2016-04-28 15:01:05+00:00","Neutral"
"24","24","@cemilertem: ""Güney Kore'nin kalkınmasındaki önemli unsurlardan birisi 'Başkanlık Sistemi'dir.","2016-04-28 12:46:22+00:00","Positive"
"25","25","Başkanlık Sistemi... https://t.co/kTOBvONvCf","2016-04-28 12:43:44+00:00","Neutral"
"26","26","Bu laiklik tartışmalarının sonu nereye gider? Elcevap: Başkanlık sistemi halkımıza hayırlı olsun!","2016-04-28 12:36:09+00:00","Neutral"
