,id,polarity
0,792516277369798656,Neutral
1,792511118627508229,Neutral
2,792506807407239173,Positive
3,792504133001613312,Neutral
4,792503204936318976,Neutral
5,792503187131465728,Neutral
6,792502774395265028,Negative
7,792498660340891649,Neutral
8,792496672697901056,Positive
9,792496444053852160,Positive
10,792496252491558912,Positive
11,792496196992589824,Positive
12,792491996099248128,Negative
13,792491497845321729,Neutral
14,792490996953153540,Neutral
15,792490323905622016,Neutral
16,792489618851627008,Negative
17,792488431360278532,Neutral
18,792482730059726849,Neutral
19,792481907200004096,Neutral
20,792481208215146496,Neutral
21,792479857217331200,Positive
22,792479728334700546,Neutral
23,792478488758484992,Neutral
24,792477580695891968,Negative
25,792477436541800448,Neutral
26,792477283416170496,Negative
27,792475991448748032,Neutral
28,792474471626145792,Neutral
29,792474275055865856,Neutral
30,792473534635380736,Positive
31,792472823948308480,Neutral
32,792472274683256832,Neutral
33,792470190395125760,Neutral
34,792470040440410112,Negative
35,792469196449976325,Neutral
36,792468739115610112,Neutral
37,792468596236623872,Negative
38,792468510601601027,Neutral
39,792467665969418240,Negative
40,792466262823698432,Positive
41,792465921227026432,Neutral
42,792465870123634688,Negative
43,792465091723685888,Negative
44,792463893679464449,Neutral
45,792463876965199874,Negative
46,792463390824431616,Neutral
47,792463163467898880,Negative
48,792462047879585799,Negative
49,792461807562723328,Negative
50,792461728906870784,Neutral
51,792461587852488704,Positive
52,792461186218491909,Positive
53,792461086360498177,Negative
54,792460408175157248,Positive
55,792459706262519808,Neutral
56,792459572648742916,Neutral
57,792458475687317506,Neutral
58,792458205875941376,Neutral
59,792457300808171520,Negative
60,792457199599624192,Negative
61,792457155966300162,Positive
62,792456875774279681,Neutral
63,792456352106962944,Negative
64,792456301175529472,Positive
65,792455237583921152,Positive
66,792454814571569152,Negative
67,792454555351080960,Neutral
68,792454435993710594,Positive
69,792454368532520960,Negative
70,792454234973278208,Positive
71,792454087547682817,Positive
72,792453825479241728,Negative
73,792453672395501569,Positive
74,792453622378467328,Neutral
75,792451791577292800,Negative
76,792450780548763648,Positive
77,792450567985569792,Positive
78,792450547597119492,Positive
79,792449719742128128,Positive
80,792448671702978560,Negative
81,792448582452408325,Negative
82,792448145984741376,Neutral
83,792447464477458432,Negative
84,792446876981354500,Positive
85,792446662375567361,Positive
86,792445679448813568,Neutral
87,792444745033342976,Negative
88,792444425754607616,Neutral
89,792443708574695428,Neutral
90,792441719556018176,Neutral
91,792441698144120832,Negative
92,792441670835068929,Positive
93,792441353825316865,Negative
94,792441232190472192,Negative
95,792441019455287296,Neutral
96,792440464926531584,Neutral
97,792440397691756544,Negative
98,792440051250655232,Neutral
99,792439647162990593,Negative
100,792439458301931520,Positive
101,792439204500340738,Neutral
102,792438601569230848,Neutral
103,792438277454327814,Neutral
104,792437728302489601,Neutral
105,792437588648947712,Neutral
106,792436597966921729,Neutral
107,792436064602447872,Positive
108,792435808028487680,Negative
109,792435800793309184,Neutral
110,792435702931791872,Positive
111,792435698573930497,Negative
112,792435511109582848,Neutral
113,792435368754675714,Positive
114,792434769787314176,Neutral
115,792434751080718336,Neutral
116,792434653235912704,Positive
117,792434363602444288,Negative
118,792434298041298944,Positive
119,792434230064209920,Neutral
120,792433834197389313,Negative
121,792433551459442696,Neutral
122,792433482161160192,Neutral
123,792433190644359169,Neutral
124,792432665530101761,Neutral
125,792432518393896960,Neutral
126,792432174972764160,Neutral
127,792431293493551105,Negative
128,792430196242677760,Positive
129,792429459278270464,Positive
130,792429187625803777,Negative
131,792428436967088129,Neutral
132,792427864373227520,Neutral
133,792427290697277440,Positive
134,792427042021269506,Neutral
135,792426875268239360,Positive
136,792426716622884864,Positive
137,792426437286526976,Neutral
138,792425150679515136,Negative
139,792424914905096192,Positive
140,792423343228067840,Positive
141,792422843891998720,Positive
142,792422383940362240,Neutral
143,792422383797665793,Neutral
144,792422382325542913,Neutral
145,792422380983324672,Neutral
146,792422379330805760,Neutral
147,792422378206662656,Neutral
148,792422377334321152,Neutral
149,792422376445059072,Neutral
150,792422375434227712,Neutral
151,792422373626552320,Neutral
152,792422372661796865,Neutral
153,792422371206365188,Neutral
154,792422222187130880,Negative
155,792422067446681600,Positive
156,792421953718157312,Positive
157,792421455472553985,Positive
158,792421375029960705,Positive
159,792419169165860864,Positive
160,792417863382536192,Positive
161,792416385657933824,Neutral
162,792416302472114176,Neutral
163,792416043641733120,Negative
164,792415117182918656,Positive
165,792414628361957376,Positive
166,792414569750605824,Positive
167,792414215365689344,Positive
168,792414202749124608,Negative
169,792413517932531712,Neutral
170,792413365830311936,Positive
171,792412683098267648,Negative
172,792411906678071297,Positive
173,792410685644812293,Neutral
174,792408163710595072,Positive
175,792408016897380352,Neutral
176,792407488507379713,Neutral
177,792404902727344128,Negative
178,792404213213065216,Positive
179,792403966307041280,Positive
180,792403940331716608,Positive
181,792402913792561152,Positive
182,792402027351539713,Positive
183,792400709358583808,Positive
184,792400216527933441,Positive
185,792398341896298497,Neutral
186,792396750552231937,Neutral
187,792388162140172288,Neutral
188,792388090602061825,Neutral
189,792388036155809793,Neutral
190,792385076478738432,Negative
191,792377476144046080,Negative
192,792375248381501440,Neutral
193,792370261265899522,Negative
194,792369242838540288,Neutral
195,792367228356272132,Neutral
196,792367125117755392,Neutral
197,792367018699792384,Neutral
198,792366856019533824,Neutral
199,792365567579557888,Neutral
200,792364993568210945,Neutral
201,792363271961608192,Neutral
202,792360001054642180,Neutral
203,792357465497145344,Negative
204,792353185897803777,Positive
205,792351267624542208,Positive
206,792347938727026688,Negative
207,792347626230251520,Neutral
208,792347325758836741,Neutral
209,792347285850034176,Negative
210,792345580051628033,Positive
211,792344251686322176,Neutral
212,792343368735027200,Negative
213,792341681496621056,Neutral
214,792341273936027648,Negative
215,792338396983230464,Neutral
216,792335406540918784,Positive
217,792334873319071744,Positive
218,792333348807081984,Positive
219,792333276925100032,Positive
220,792329727583391744,Negative
221,792329403971821568,Neutral
222,792328670065127425,Neutral
223,792326122780385280,Neutral
224,792324725112463360,Negative
225,792318994728484864,Negative
226,792318745498775556,Positive
227,792316169747300352,Positive
228,792314909900021760,Positive
229,792313996644868096,Negative
230,792313935311540224,Neutral
231,792312271611494400,Neutral
232,792312201000292352,Neutral
233,792310962711851009,Neutral
234,792310888447508480,Positive
235,792309917566824448,Positive
236,792308646701064192,Neutral
237,792308221264429056,Positive
238,792306037336530944,Positive
239,792305199096352768,Neutral
240,792304221479702528,Neutral
241,792303582519459841,Neutral
242,792302957098303488,Neutral
243,792302286064197632,Positive
244,792301649771520001,Neutral
245,792301535313166337,Neutral
246,792301429281198084,Negative
247,792300125083275264,Negative
248,792297571490365440,Negative
249,792297497175658500,Neutral
250,792297070027649024,Neutral
251,792296736945569796,Neutral
252,792294481001324544,Positive
253,792292085122621440,Neutral
254,792290817511686144,Neutral
255,792289095221477376,Negative
256,792288664936120320,Negative
257,792286201415888897,Positive
258,792285669855027200,Positive
259,792284849797300236,Neutral
260,792282167435005952,Positive
261,792281636255723520,Positive
262,792280219579285504,Positive
263,792279644917624832,Positive
264,792277709242105856,Neutral
265,792275868672528384,Negative
266,792271782958993408,Positive
267,792270072978870272,Neutral
268,792269992955826176,Neutral
269,792269840916570112,Neutral
